Farm_ID,Date,NDVI,crop label,ground truth month
T010,10-05-2025,-0.05894309,Tomato,01-11-2025
T010,11-03-2026,0.8597561,Tomato,01-11-2025
T010,11-11-2025,0.56795067,Tomato,01-11-2025
T010,11-12-2025,0.5173283,Tomato,01-11-2025
T010,12-10-2025,0.48119575,Tomato,01-11-2025
T010,13-12-2025,0.521324,Tomato,01-11-2025
T010,14-02-2026,0.89011496,Tomato,01-11-2025
T010,14-06-2025,0.18396227,Tomato,01-11-2025
T010,14-10-2025,0.4065934,Tomato,01-11-2025
T010,15-01-2026,0.539028,Tomato,01-11-2025
T010,15-04-2026,0.1644515,Tomato,01-11-2025
T010,16-03-2026,0.77054346,Tomato,01-11-2025
T010,16-11-2025,0.58474046,Tomato,01-11-2025
T010,16-12-2025,0.54242617,Tomato,01-11-2025
T010,17-09-2025,0.45002824,Tomato,01-11-2025
T010,17-10-2025,0.45405036,Tomato,01-11-2025
T010,20-01-2026,0.69794345,Tomato,01-11-2025
T010,20-04-2026,0.13449523,Tomato,01-11-2025
T010,20-05-2025,0.49044585,Tomato,01-11-2025
T010,21-11-2025,0.6002579,Tomato,01-11-2025
T010,22-04-2026,0.134754,Tomato,01-11-2025
T010,22-09-2025,0.5182482,Tomato,01-11-2025
T010,23-11-2025,0.46335834,Tomato,01-11-2025
T010,24-02-2026,0.89933836,Tomato,01-11-2025
T010,24-09-2025,0.50050557,Tomato,01-11-2025
T010,25-01-2026,0.42270863,Tomato,01-11-2025
T010,25-04-2026,0.14330056,Tomato,01-11-2025
T010,26-03-2026,0.57781297,Tomato,01-11-2025
T010,26-11-2025,0.44848123,Tomato,01-11-2025
T010,26-12-2025,0.28525788,Tomato,01-11-2025
T010,30-04-2026,0.10336455,Tomato,01-11-2025
T010,31-03-2026,0.35498196,Tomato,01-11-2025
T010,31-12-2025,0.3280915,Tomato,01-11-2025
T011,02-02-2024,0.2592036,Tomato,01-12-2023
T011,02-04-2024,0.2360515,Tomato,01-12-2023
T011,02-05-2024,0.1724138,Tomato,01-12-2023
T011,02-06-2023,0.14162755,Tomato,01-12-2023
T011,03-03-2024,0.3622251,Tomato,01-12-2023
T011,05-10-2023,0.06524118,Tomato,01-12-2023
T011,06-08-2023,0.089020774,Tomato,01-12-2023
T011,07-02-2024,0.501292,Tomato,01-12-2023
T011,07-04-2024,0.23159784,Tomato,01-12-2023
T011,08-03-2024,0.33943155,Tomato,01-12-2023
T011,10-10-2023,-0.02614601,Tomato,01-12-2023
T011,12-02-2024,0.4723599,Tomato,01-12-2023
T011,12-04-2024,0.17741935,Tomato,01-12-2023
T011,12-06-2023,0.09653916,Tomato,01-12-2023
T011,13-03-2024,0.26658905,Tomato,01-12-2023
T011,15-10-2023,0.47078386,Tomato,01-12-2023
T011,16-08-2023,0.3955774,Tomato,01-12-2023
T011,17-02-2024,0.47350994,Tomato,01-12-2023
T011,18-01-2024,0.4704264,Tomato,01-12-2023
T011,18-03-2024,0.26693228,Tomato,01-12-2023
T011,19-11-2023,0.64366126,Tomato,01-12-2023
T011,20-10-2023,0.4957537,Tomato,01-12-2023
T011,21-08-2023,0.49466667,Tomato,01-12-2023
T011,22-02-2024,0.30740276,Tomato,01-12-2023
T011,22-04-2024,0.1970803,Tomato,01-12-2023
T011,23-01-2024,0.51655626,Tomato,01-12-2023
T011,23-03-2024,0.28143713,Tomato,01-12-2023
T011,24-12-2023,0.51924586,Tomato,01-12-2023
T011,25-10-2023,0.4886609,Tomato,01-12-2023
T011,27-02-2024,0.017988553,Tomato,01-12-2023
T011,27-04-2024,0.19570085,Tomato,01-12-2023
T011,28-03-2024,0.24474393,Tomato,01-12-2023
T011,29-12-2023,0.5383312,Tomato,01-12-2023
T012,02-02-2024,0.40548137,Tomato,01-12-2023
T012,02-04-2024,0.53439456,Tomato,01-12-2023
T012,02-05-2024,0.15846539,Tomato,01-12-2023
T012,02-06-2023,0.37219918,Tomato,01-12-2023
T012,03-03-2024,0.6323948,Tomato,01-12-2023
T012,05-10-2023,0.14188904,Tomato,01-12-2023
T012,06-08-2023,0.065910086,Tomato,01-12-2023
T012,07-02-2024,0.71953857,Tomato,01-12-2023
T012,07-04-2024,0.5585014,Tomato,01-12-2023
T012,08-03-2024,0.66323906,Tomato,01-12-2023
T012,10-10-2023,0.011519078,Tomato,01-12-2023
T012,12-02-2024,0.6733542,Tomato,01-12-2023
T012,12-04-2024,0.27884614,Tomato,01-12-2023
T012,12-06-2023,0.1293805,Tomato,01-12-2023
T012,13-03-2024,0.53372514,Tomato,01-12-2023
T012,15-10-2023,0.4106885,Tomato,01-12-2023
T012,16-08-2023,0.24460432,Tomato,01-12-2023
T012,17-02-2024,0.6646622,Tomato,01-12-2023
T012,18-01-2024,0.675898,Tomato,01-12-2023
T012,18-03-2024,0.5906921,Tomato,01-12-2023
T012,19-11-2023,0.39118943,Tomato,01-12-2023
T012,20-10-2023,0.44134077,Tomato,01-12-2023
T012,21-08-2023,0.3531915,Tomato,01-12-2023
T012,22-02-2024,0.48122472,Tomato,01-12-2023
T012,22-04-2024,0.21665251,Tomato,01-12-2023
T012,23-01-2024,0.79379565,Tomato,01-12-2023
T012,23-03-2024,0.60238093,Tomato,01-12-2023
T012,24-12-2023,0.67682725,Tomato,01-12-2023
T012,25-10-2023,0.39395618,Tomato,01-12-2023
T012,27-02-2024,0.008159565,Tomato,01-12-2023
T012,27-04-2024,0.17410073,Tomato,01-12-2023
T012,28-03-2024,0.57004833,Tomato,01-12-2023
T012,29-12-2023,0.7570928,Tomato,01-12-2023
T013,02-02-2024,0.24914908,Tomato,01-12-2023
T013,02-04-2024,0.16377953,Tomato,01-12-2023
T013,02-05-2024,0.13494809,Tomato,01-12-2023
T013,02-06-2023,0.59758466,Tomato,01-12-2023
T013,03-03-2024,0.20180996,Tomato,01-12-2023
T013,05-10-2023,0.053846154,Tomato,01-12-2023
T013,06-08-2023,0.045930702,Tomato,01-12-2023
T013,07-02-2024,0.33096084,Tomato,01-12-2023
T013,07-04-2024,0.1756966,Tomato,01-12-2023
T013,08-03-2024,0.19596912,Tomato,01-12-2023
T013,10-10-2023,-0.025737014,Tomato,01-12-2023
T013,12-02-2024,0.25878277,Tomato,01-12-2023
T013,12-04-2024,0.024312476,Tomato,01-12-2023
T013,12-06-2023,0.38855106,Tomato,01-12-2023
T013,13-03-2024,0.18006992,Tomato,01-12-2023
T013,15-10-2023,0.3825114,Tomato,01-12-2023
T013,16-08-2023,0.13585746,Tomato,01-12-2023
T013,17-02-2024,0.271556,Tomato,01-12-2023
T013,18-01-2024,0.42254302,Tomato,01-12-2023
T013,18-03-2024,0.16924985,Tomato,01-12-2023
T013,19-11-2023,0.3500785,Tomato,01-12-2023
T013,20-10-2023,0.44160584,Tomato,01-12-2023
T013,21-08-2023,0.1988555,Tomato,01-12-2023
T013,22-02-2024,0.23818438,Tomato,01-12-2023
T013,22-04-2024,0.1594203,Tomato,01-12-2023
T013,23-01-2024,0.4388043,Tomato,01-12-2023
T013,23-03-2024,0.17457697,Tomato,01-12-2023
T013,24-12-2023,0.44726452,Tomato,01-12-2023
